Question,Topic
"Rehabilitation, not punishment, should be the purpose of the justice system. Discuss.",Crime and Punishment
To what extent is it possible to make the punishment fit the crime?,Crime and Punishment
How far can an individual be held responsible for crimes against humanity?,Crime and Punishment
Should crimes that were committed many years ago simply be forgotten?,Crime and Punishment
Too much attention is given to criminals; not enough to their victims. Is this true?,Crime and Punishment
Should the police have unlimited powers when dealing with crime?,Crime and Punishment
The quality of written language is being destroyed by social media. What is your view?,Language and Writing
Consider the view that spoken language is more important than the written form.,Language and Writing
Is there any value in preserving minority languages in the world?,Language and Writing
Are certain types of writing superior to others?,Language and Writing
The pen is mightier than the sword. Can written language really be so powerful?,Language and Writing
A picture is always more powerful than mere words. What is your view?,Language and Writing
The world would be a better place if everyone spoke the same language. Discuss.,Language and Writing
Can fiction teach us anything meaningful about the real world?,Reading Fiction & Stories
"Any adaptation of a novel for a film, television or the theatre is never as effective as the original. Discuss.",Reading Fiction & Stories
Books serve little purpose in education as technological developments become more sophisticated.- How far do you agree?,Reading Fiction & Stories
'The book has no place in modern society.' Discuss.,Reading Fiction & Stories
"Nowadays, the pleasures of reading can never compete with the pleasures of visual entertainment.- To what extent do you agree?",Reading Fiction & Stories
Discuss the appeal and value of fantasy stories and films.,Reading Fiction & Stories
Does the book still have a future?,Reading Fiction & Stories
An appreciation of music is vital for a fully rounded education. How true is this of your society?,The Arts 
Works of art which have been removed from their country of origin should be returned. Discuss.,The Arts 
Examine the role of music in establishing a national identity in your society.,The Arts 
"In your society, to what extent is it acceptable for public money to be used for the acquisition of works of art?",The Arts 
To what extent should the arts in your society focus on local rather than foreign talent?,The Arts 
"For the majority of people, the Arts are irrelevant to their daily lives. How true is this of your society?",The Arts 
"Unlike the Arts, such as writing or music, Mathematics lacks the capacity for creativity. How far do you agree with this statement?",The Arts 
"People in the Arts, living or dead, receive far more recognition than those in the Sciences, though it is less deserved.- Consider this claim.",The Arts 
Only modern architecture and modern art have a place in today's world. How true is this of your society?,The Arts 
"Would it matter if all the performing arts venues in your society, such as concert halls and theatres, were closed down?",The Arts 
"The arts cannot change the world but they make it more beautiful. Discuss this view with reference to one of the following: painting, sculpture or music.",The Arts 
"Do the arts, such as music and literature, really play a significant role in Singaporean society?",The Arts 
Contemporary music has no artistic value. Is this a fair comment?,The Arts 
A work of art can never be valued in just financial terms. Discuss.,The Arts 
Assess the importance of food within Singaporean culture.,Culture and Traditions
Do handicrafts still have value when machine-produced goods are so readily available?,Culture and Traditions
Assess the view that traditional buildings have no future in your society.,Culture and Traditions
How important is it for people in your society to retain a sense of tradition?,Culture and Traditions
Assess the impact of foreign films or foreign TV programmes on the culture of your society.,Culture and Traditions
Fashion is as much a good thing as a bad thing. To what extent do you agree?,Culture and Traditions
Can a belief in the supernatural be sustained in our modern world?,Culture and Traditions
Do myths and legends still have a role to play in Singapore?,Culture and Traditions
An appreciation of music is vital for a fully rounded education. How true is this of your society?,Education
Practical ability is just as important as intellectual skills.- How far is this true in your society?,Education
Books serve little purpose in education as technological developments become more sophisticated. How far do you agree?,Education
Education should only be concerned with what is useful in life. Discuss.,Education
Only educated people should have the right to vote in elections. What is your view?,Education
The word failure should never be used in education. Discuss.,Education
Conformity should be the main aim of all schools. How far is this true?,Education
How far can prosperity and uncontrolled population growth go hand in hand?,Economics
Science is the only answer to global hunger. Discuss.,Economics
Foreign aid does not solve long-term problems. To what extent is this a fair viewpoint?,Economics
To what extent is the pursuit of continuous economic growth a desirable goal?,Economics
How far is increased prosperity for all a realistic goal in your society?,Economics
How effective are international efforts to ease the problem of global hunger?,Economics
